10,-11.7933
12.58925412,-9.79344
15.84893192,-7.79363
19.95262315,-5.79393
25.11886432,-3.7944
31.6227766,-1.79516
39.81071706,0.203654
50.11872336,2.20177
63.09573445,4.19878
79.43282347,6.19405
100,8.18656
125.8925412,10.1747
158.4893192,12.156
199.5262315,14.1266
251.1886432,16.0803
316.227766,18.0079
398.1071706,19.8956
501.1872336,21.7233
630.9573445,23.4636
794.3282347,25.0813
1000,26.537
1258.925412,27.7935
1584.893192,28.8267
1995.262315,29.633
2511.886432,30.2315
3162.27766,30.6565
3981.071706,30.9478
5011.872336,31.1422
6309.573445,31.2695
7943.282347,31.3519
10000,31.4047
12589.25412,31.4384
15848.93192,31.46
19952.62315,31.4739
25118.86432,31.4831
31622.7766,31.4894
39810.71706,31.4944
50118.72336,31.4989
63095.73445,31.5041
79432.82347,31.511
100000,31.521
125892.5412,31.5363
158489.3192,31.5597
199526.2315,31.5957
251188.6432,31.6504
316227.766,31.732
398107.1706,31.8494
501187.2336,32.0105
630957.3445,32.2157
794328.2347,32.4506
1000000,32.6785
1258925.412,32.8407
1584893.192,32.8658
1995262.315,32.6857
2511886.432,32.2487
3162277.66,31.5282
3981071.706,30.5251
5011872.336,29.2655
6309573.445,27.7925
7943282.347,26.1544
10000000,24.3963
12589254.12,22.5546
15848931.92,20.6566
19952623.15,18.7211
25118864.32,16.7608
31622776.6,14.7838
39810717.06,12.7948
50118723.36,10.7962
63095734.45,8.78821
79432823.47,6.76922
100000000,4.73529
